id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
639909278013555566,Spacious bedroom in  house with patio close to NYC,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.71056,-74.06519,Private room,51,29,1,2022-08-31,1,12,339,1,
639909334619822556,Unique bedroom in great area close to NYC.,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.71076,-74.06561,Private room,38,29,1,2022-07-31,0.60,12,291,1,
640042942919347474,Wall Street One Bedroom,458691743,Amand,,Ward F (councilmember Jermaine D. Robinson),40.7049,-74.00833,Entire home/apt,360,10,0,,,1,20,0,
640071054943843783,A nice cozy room,284879838,Temitope,,Ward A (councilmember Denise Ridley),40.69847,-74.09259,Private room,40,27,6,2022-09-16,2.22,8,209,6,
640403487926400354,Spacious 2 bed/2bath Hoboken Condo - 15 min to NYC,78534159,My,,Ward D (councilmember Michael Yun),40.74059,-74.04165,Entire home/apt,225,4,2,2022-08-21,1.15,1,20,2,
640568855641668893,Quiet private room by Jersey City and NYC downtown,35118978,Cyaline,,Ward F (councilmember Jermaine D. Robinson),40.71047,-74.07257,Private room,49,28,0,,,3,362,0,
640664103605745899,Lovely Studio In Jersey City** Longterm Stay!!,274604030,Mario,,Ward C (councilmember Richard Boggiano),40.74191,-74.04937,Entire home/apt,100,29,0,,,10,92,0,
640708965149455742,"Cozy private bedroom by Chelsea Market, Manhatten",24291027,Theresa,,Ward E (councilmember James Solomon),40.74263,-74.00468,Private room,150,5,0,,,1,17,0,
641273492988061949,Luxury 3 Bed / 1 Bath- Central Location,319005137,Robert,,Ward C (councilmember Richard Boggiano),40.73849,-74.04609,Entire home/apt,270,7,7,2022-09-05,2.44,35,335,7,
642025073165883567,Hudson Sky Loft Penthouse w/ Private Roof terrace!,462563440,Nicole,,Ward F (councilmember Jermaine D. Robinson),40.7209468,-74.06399960000002,Entire home/apt,195,2,15,2022-09-09,4.74,1,331,15,
642031225156591424,Lovely room with 2 shared bathrooms.,284879838,Temitope,,Ward A (councilmember Denise Ridley),40.6999,-74.09309,Private room,40,21,6,2022-08-30,1.91,8,301,6,
642623486193756516,Welcoming 1-Bedroom Bed and Breakfast in JC,122850790,Lissette,,Ward B (councilmember Mira Prinz-Arey),40.7127809,-74.0863485,Private room,58,1,0,,,1,260,0,
642759666681609146,Lovely 1-bedroom condo in Hoboken.,31230236,Ves,,Ward D (councilmember Michael Yun),40.74295,-74.03796,Entire home/apt,195,7,2,2022-08-14,0.65,1,59,2,
642879449419186999,Studio apartment steps from the NY Stock Exchange,12388999,Sonia,,Ward F (councilmember Jermaine D. Robinson),40.70528970371512,-74.01053326071472,Entire home/apt,148,5,6,2022-09-12,2.09,1,0,6,
643388781734353609,Private Studio just 20 minutes from Times Square,307885392,Ashley & Shelley,,Ward D (councilmember Michael Yun),40.76646,-74.04162,Entire home/apt,100,2,1,2022-08-22,1,25,318,1,
643454008976637928,RENOVATED Luxury Studio; 20 Mins Away from NYC/EWR,59905804,Raquel,,Ward A (councilmember Denise Ridley),40.67083,-74.1017,Entire home/apt,171,1,4,2022-09-18,1.29,1,262,4,
643497364360169737,1BR Penthouse with incredible views of NYC,13976139,Lori,,Ward E (councilmember James Solomon),40.70822,-74.00776,Entire home/apt,350,7,0,,,1,0,0,
644677454716871677,Lovely Victorian Home. Bed & Breakfast Type Living,83827180,Muhammed,,Ward F (councilmember Jermaine D. Robinson),40.70918,-74.07365,Entire home/apt,150,2,15,2022-09-13,4.64,2,313,15,
644848237004670634,Luxurious 1 bd apartment in Downtown Manhattan,117710097,Sevket,,Ward E (councilmember James Solomon),40.70824,-74.00625,Entire home/apt,500,30,0,,,1,300,0,
645314665199717248,"Hoboken 2BR w/ PATH Shuttle, Gym & W/D",107434423,Blueground,,Ward D (councilmember Michael Yun),40.74922,-74.03767,Entire home/apt,300,31,0,,,96,333,0,
645651643918951315,Sunny Charm Small Room 15Min to NYC,203121906,Zack,,Ward C (councilmember Richard Boggiano),40.73309,-74.05573,Private room,39,90,0,,,12,321,0,
645670635245416455,Lovely Jr. 1 Bedroom in Soho,30115627,Desi,,Ward E (councilmember James Solomon),40.72540730794617,-74.00291691268012,Entire home/apt,200,10,0,,,1,67,0,
647047383658441872,Lovely modern fully furnished and equipped private,56095060,David,,Ward A (councilmember Denise Ridley),40.67825,-74.11315,Entire home/apt,148,5,4,2022-08-01,1.38,1,254,4,
647624183593590641,Cool 2br/1ba 30 mins away from Manhattan,319832218,Ioan,,Ward B (councilmember Mira Prinz-Arey),40.71725,-74.0909,Entire home/apt,127,4,2,2022-08-31,0.85,4,149,2,
647754438721915924,Charming Luxury Suite in New York City,447546305,Justin,,Ward F (councilmember Jermaine D. Robinson),40.70544,-74.00973,Entire home/apt,799,7,1,2022-06-19,0.33,1,357,1,
647820921801780110,Lovely 1 bedroom condo with private patio,48512467,Stephanie,,Ward D (councilmember Michael Yun),40.74324,-74.02855,Entire home/apt,158,1,1,2022-07-29,0.57,1,0,1,
648191128733910640,"Urban 1BR - Close to PATH Train, 15min to NYC",463345136,Hoboken,,Ward E (councilmember James Solomon),40.7395,-74.03832,Entire home/apt,162,3,8,2022-09-14,3.20,7,226,8,
648191280467052145,Central & Great Location 1BR - 15min to NYC,376036279,Viagem,,Ward E (councilmember James Solomon),40.73855,-74.03634,Entire home/apt,173,2,3,2022-08-30,1.07,1,229,3,
648191602730767768,Central & Next to the Path - 10min to NYC,463345136,Hoboken,,Ward E (councilmember James Solomon),40.73666,-74.0295,Entire home/apt,167,2,5,2022-09-03,2.11,7,246,5,
648191896822644411,Urban Hoboken Studio - 10min to NYC,463345136,Hoboken,,Ward E (councilmember James Solomon),40.73724,-74.03001,Entire home/apt,206,2,3,2022-08-22,0.99,7,243,3,
648192123596452949,Urban + Cozy 1BR - 15min to NYC,463345136,Hoboken,,Ward E (councilmember James Solomon),40.73768,-74.03692,Entire home/apt,181,2,5,2022-09-04,2.88,7,236,5,
648192930134089393,Elegant and Spacious 1BR with Workspace,463345136,Hoboken,,Ward E (councilmember James Solomon),40.74145,-74.02983,Entire home/apt,149,2,6,2022-09-04,2.43,7,218,6,
648193492373754491,Cozy 1BR 15min to NYC,463345136,Hoboken,,Ward E (councilmember James Solomon),40.73989,-74.03682,Entire home/apt,179,2,5,2022-09-09,3.00,7,237,5,
648193659833646511,Bright & Stylish 1BR with Workspace,463345136,Hoboken,,Ward E (councilmember James Solomon),40.74193,-74.03019,Entire home/apt,157,2,6,2022-08-28,3.91,7,182,6,
648399263494964533,New Beautiful 2 Bedroom Apt Close to NYC!,233838758,Sunil,,Ward B (councilmember Mira Prinz-Arey),40.72281,-74.08599,Entire home/apt,125,30,0,,,4,332,0,
648451553177767856,CONTACT HOST BEFORE BOOKING PLEASE,15625009,Anders,,Ward C (councilmember Richard Boggiano),40.73253,-74.05645,Private room,45,30,0,,,12,347,0,
648452537951315311,"ESB views, 2br in the heart of the West Village",5742887,Colleen,,Ward E (councilmember James Solomon),40.73385,-74.00377,Entire home/apt,800,3,3,2022-08-10,1.17,1,53,3,
648573751419144582,"2br/1ba Skylight apt, 30 mins to Manhattan",319832218,Ioan,,Ward B (councilmember Mira Prinz-Arey),40.71951,-74.09159,Entire home/apt,117,4,4,2022-09-04,1.74,4,146,4,
648587804094088553,Modern Wall St Studio w/ Home Office by Anyplace,415840703,Anyplace,,Ward F (councilmember Jermaine D. Robinson),40.70568945522721,-74.00978972449886,Entire home/apt,252,30,1,2022-07-17,0.47,10,138,1,
648725849141434576,Luxury 4 Bedroom / 1 Bath Minutes to NYC,319005137,Robert,,Ward C (councilmember Richard Boggiano),40.73846,-74.0478,Entire home/apt,324,7,5,2022-09-05,1.90,35,346,5,
648765822348573819,"Industrial 1br/1ba apt, 30 minutes to NYC",319832218,Ioan,,Ward B (councilmember Mira Prinz-Arey),40.71977,-74.08896,Entire home/apt,113,4,1,2022-08-22,1,4,131,1,
649129686097497520,Ideal Home-Deluxe & Spacious Apt In Financial Hub,9750462,Jannes,,Ward F (councilmember Jermaine D. Robinson),40.70427,-74.00845,Entire home/apt,382,2,2,2022-08-09,0.88,1,340,2,
649207925115972536,Studio w/ Home Office and Gigabit WiFi by Anyplace,415840703,Anyplace,,Ward F (councilmember Jermaine D. Robinson),40.70346327236501,-74.00838155367062,Entire home/apt,284,30,0,,,10,211,0,
649211720318305287,FiDi Studio with Modern Home Office by Anyplace,415840703,Anyplace,,Ward F (councilmember Jermaine D. Robinson),40.70405244403799,-74.00800143359375,Entire home/apt,304,30,0,,,10,247,0,
